raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect,raga_audio_path
Raga Basant_1,Raga Basant Bahar - Raga Basant Bahar - Ektaal - Teentaal,Kishori Amonkar,0:29:27.200000,https://p.scdn.co/mp3-preview/8416be7166d1d26a507d40f7799e02456dc5f400?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Kishori Amonkar\Raga Basant Bahar - Raga Basant Bahar - Ektaal - Teentaal_Kishori Amonkar.mp3
Raga Basant_2,Raga Basant Bahar,Rashid Khan,0:12:01.240000,https://p.scdn.co/mp3-preview/5efd3b0630dd7ca7a27af87d66abbbd837663878?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Rashid Khan\Raga Basant Bahar_Rashid Khan.mp3
Raga Basant_3,Raga Basant - Piya Sang Kheloon,Rashid Khan,0:07:19.133000,https://p.scdn.co/mp3-preview/fcf209cb8cc0569752544aeaf91d5323805c0dc2?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Rashid Khan\Raga Basant - Piya Sang Kheloon_Rashid Khan.mp3
Raga Basant_4,Raga Basant (1997),Bhimsen Joshi,0:10:01.077000,https://p.scdn.co/mp3-preview/c06855a4842c5c139fe3bdbf1db313c3cd97d701?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Bhimsen Joshi\Raga Basant (1997)_Bhimsen Joshi.mp3
Raga Basant_5,Raga Basant,Shivkumar Sharma,0:29:03.413000,https://p.scdn.co/mp3-preview/62f22aa571a9a69677a6b2700d35b59db2b94238?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Shivkumar Sharma\Raga Basant_Shivkumar Sharma.mp3
Raga Basant_6,Raga Basant,Meeta Pandit,0:07:24.840000,https://p.scdn.co/mp3-preview/2677767d7687bb8c3b997bed516f1f5e01ef9488?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Meeta Pandit\Raga Basant_Meeta Pandit.mp3
Raga Basant_7,Raga Basant,Four Shillings Short,0:11:04.160000,https://p.scdn.co/mp3-preview/4a9fb9ae710552c3da8b8e50e645a353a6a62972?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Four Shillings Short\Raga Basant_Four Shillings Short.mp3
Raga Basant_8,Raga Basant - Gat in Madhyalaya Teen Taal,Vishwa Mohan Bhatt,0:10:30.066000,https://p.scdn.co/mp3-preview/b67d78a7a9cd58701c2f1d5cc3e0e1c84f2caf0a?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Vishwa Mohan Bhatt\Raga Basant - Gat in Madhyalaya Teen Taal_Vishwa Mohan Bhatt.mp3
Raga Basant_9,Raga Basant Bahar,Kishori Amonkar,0:07:42.920000,https://p.scdn.co/mp3-preview/05e69b7547cb5d0f8f3527bd8e196e1af91e4148?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Kishori Amonkar\Raga Basant Bahar_Kishori Amonkar.mp3
Raga Basant_10,Raga Basant - Tala Teentaal,Shivkumar Sharma,0:28:57.360000,https://p.scdn.co/mp3-preview/9d7a389a9371e223cdd74be5d7c91e4fb133f044?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Shivkumar Sharma\Raga Basant - Tala Teentaal_Shivkumar Sharma.mp3
Raga Basant_11,Raga Basant: Alap,Veena Sahasrabuddhe,0:01:37.040000,https://p.scdn.co/mp3-preview/8d0b1809da4bee2e38129211eaa341dcfc4666f2?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Veena Sahasrabuddhe\Raga Basant: Alap_Veena Sahasrabuddhe.mp3
Raga Basant_12,Raga Basant,Shanti Sharma,0:07:33.693000,https://p.scdn.co/mp3-preview/b5da922bcdc1fa44941245dd0476e9147567a148?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Shanti Sharma\Raga Basant_Shanti Sharma.mp3
Raga Basant_13,Raga Basant Mukhari - live,Kartik Seshadri,0:30:16.640000,https://p.scdn.co/mp3-preview/d61009cb786c96d7c7b0878855821c49097f391c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Kartik Seshadri\Raga Basant Mukhari - live_Kartik Seshadri.mp3
Raga Basant_14,Awakening - Raga Basant Mukhari,Manish Vyas,0:32:52.920000,https://p.scdn.co/mp3-preview/a70ea62cc274df9baf645b9289dd51f469dd470c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Manish Vyas\Awakening - Raga Basant Mukhari_Manish Vyas.mp3
Raga Basant_15,Raga Basant (Khayal Madhyalaya In Teentala),"Bhimsen Joshi w. Tulsidas Borkar, Shashikant Muley, Rajendra Rathod, Narayan Des",0:10:09.267000,https://p.scdn.co/mp3-preview/3c055c43c682cb94dd6bc1a39fe7d7ce28c2e40d?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Bhimsen Joshi w. Tulsidas Borkar, Shashikant Muley, Rajendra Rathod, Narayan Des\Raga Basant (Khayal Madhyalaya In Teentala)_Bhimsen Joshi w. Tulsidas Borkar, Shashikant Muley, Rajendra Rathod, Narayan Des.mp3"
Raga Basant_16,Khayal`- Raga Basant Bahar - Ektaal,Chhannulal Mishra,0:04:05.826000,https://p.scdn.co/mp3-preview/baf08b63ae150eedc4ed8a82cf28d36198997824?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Chhannulal Mishra\Khayal`- Raga Basant Bahar - Ektaal_Chhannulal Mishra.mp3
Raga Basant_17,Alaap Jor Jhala - Raga Basant Mukhari,Shivkumar Sharma,0:17:50.484000,https://p.scdn.co/mp3-preview/fc43ca3c75ac5a3a6a83e5111a97313603436a61?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Shivkumar Sharma\Alaap Jor Jhala - Raga Basant Mukhari_Shivkumar Sharma.mp3
Raga Basant_18,Raga Basant - Gat in Madhyalay Ektaal,N. Rajam,0:14:42.055000,https://p.scdn.co/mp3-preview/035f5ce8230939cc115ceb2eac2af14f263339bf?cid=883d8de3b4fb48e9ab32028467324d90,,audio/N. Rajam\Raga Basant - Gat in Madhyalay Ektaal_N. Rajam.mp3
Raga Basant_19,Raga Basant Bahar - Raga Basant Bahar - Drut Khayal - Teentaal,Kishori Amonkar,0:07:42.920000,https://p.scdn.co/mp3-preview/d4b02b40be6171b09f6131cf945afdc4f1ff9bcc?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Kishori Amonkar\Raga Basant Bahar - Raga Basant Bahar - Drut Khayal - Teentaal_Kishori Amonkar.mp3
Raga Basant_20,Raga Basant Mukhari (Gat in Drut Teental),Tejendra Majumdar,0:10:06.773000,https://p.scdn.co/mp3-preview/39d6f1bb8163f2b1aa60bfdbab180e23300f22c0?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Tejendra Majumdar\Raga Basant Mukhari (Gat in Drut Teental)_Tejendra Majumdar.mp3
Raga Basant_21,"Raga Basant: ""Madhukar Aaj Basant"" (Madhya Teental)",Veena Sahasrabuddhe,0:08:39.285000,https://p.scdn.co/mp3-preview/9e9688899ff30677b1347f1d76e622471c06038f?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Veena Sahasrabuddhe\Raga Basant: ""Madhukar Aaj Basant"" (Madhya Teental)_Veena Sahasrabuddhe.mp3"
Raga Basant_22,Raga Basant,Krishna Bisht,0:04:52.641000,https://p.scdn.co/mp3-preview/bde60b5bc846c4eceeac2b7b73525d155b1e94ed?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Krishna Bisht\Raga Basant_Krishna Bisht.mp3
Raga Basant_23,Raga Basant,Sabri Khan,0:18:13.520000,https://p.scdn.co/mp3-preview/1076e27c84d060f808bc76bd198d226f1871f5e8?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Sabri Khan\Raga Basant_Sabri Khan.mp3
