raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Asavari_1,Asavari,Hariprasad Chaurasia,0:05:52,https://p.scdn.co/mp3-preview/e66651a25c06f19da10220f1738200392140e71c?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_2,Asavari,Multani,0:02:51.076000,https://p.scdn.co/mp3-preview/856b865d6cb5d9cc121c675237f1a29b23cc183a?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_3,Hanuman Chalisa in Raag Asavari,Sudeepto Chakraborty,0:09:58,https://p.scdn.co/mp3-preview/1d5d783c9746040e10bd5e10575fc71b851f680a?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_4,Asavari,Michael E,0:05:21,https://p.scdn.co/mp3-preview/ad87c183e72af741872df87b009bdb020c56d538?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_5,Asavari,Hindi Lounge,0:02:58.875000,https://p.scdn.co/mp3-preview/674be8879b8c90855f5ed1fd72b3057cbbe40778?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_6,Komal Rishabh Asavari - Jhaptaal,Nayan Ghosh,0:13:55.312000,https://p.scdn.co/mp3-preview/6612fe8845e00b4fd06d12cbaff0cadd380625e8?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_7,Asavari,Indian Yoga Music,0:04:35.740000,https://p.scdn.co/mp3-preview/9278dcc061f0c9d2fb1534cb75bc05c8d580db70?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_8,Based on Raga Komal Rishabh Asavari,Rupak Kulkarni,0:25:02.863000,https://p.scdn.co/mp3-preview/bbea51a2fb934c8454e3d28bd2a292528d2f3c11?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_9,Asavari,Michael E,0:05:21,https://p.scdn.co/mp3-preview/ad87c183e72af741872df87b009bdb020c56d538?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_10,Asavari,Zen Indian Chill,0:03:34.364000,https://p.scdn.co/mp3-preview/d5d0719561fc9a7dda45af7f0bda1b413937d1e1?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_11,Asavari,Indian Beats Project,0:04:24.775000,https://p.scdn.co/mp3-preview/4bfda56589d09863c66bdf5be8ea69b095fed30f?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_12,Asavari,Zen Indian Chill,0:03:43.382000,https://p.scdn.co/mp3-preview/684c330dc89bf581d3387ebac6805bf7903740d5?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_13,Raag Asavari,Harlove Singh,0:08:21.135000,https://p.scdn.co/mp3-preview/b1f2cfdff5954b2718397260fcaeeb07acde2d2b?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_14,Asavari,Charu Suri,0:09:11.105000,https://p.scdn.co/mp3-preview/35dd58c1a7714b9f7dee8858fa8dfb00e08e9773?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_15,Raga Asavari,Bhimsen Joshi,0:15:03.933000,https://p.scdn.co/mp3-preview/b3c7f25bbd2049a3a0dea98824c4332987983ff1?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_16,Asavari,Charu Suri,0:09:11.105000,https://p.scdn.co/mp3-preview/59d724bd16426845cee7f62dba9abea2e3cce244?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_17,Raaga Asavari,Pandit Pran Nath,0:20:33.124000,https://p.scdn.co/mp3-preview/0fe152ea7271c6d90cb2b163a340fe0fc28716fc?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_18,Asavari,Indian Beats Project,0:03:08.330000,https://p.scdn.co/mp3-preview/19a6f8f499014da648e3343c709df096d9f5eb70?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_19,Raga Asavari Todi,Bhimsen Joshi,0:32:27.364000,https://p.scdn.co/mp3-preview/d0a81fe61ee0b40373e30621972a24a04dac0aa4?cid=883d8de3b4fb48e9ab32028467324d90,
Asavari_20,Asavari,Zen Indian Chill,0:03:24.350000,https://p.scdn.co/mp3-preview/ec8dd28da4d0fcab6b3d3112662fc154d7234a7b?cid=883d8de3b4fb48e9ab32028467324d90,
