raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Ahir Bhairav_1,Raga Ahir Bhairav,Hariprasad Chaurasia,0:29:36.400000,https://p.scdn.co/mp3-preview/a09352561ab0db5fa1ab8b634239605daba8b9f6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_2,Raga Ahir Bhairav - Raga Ahir Bhairav - Madhyalaya Teen Taal,Sultan Khan,0:31:07.013000,https://p.scdn.co/mp3-preview/0643c772033617d3d9b03fcb199f248f3a9d2591?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_3,"Raga Ahir Bhairav, Pt. 3",Brij Bhushan Kabra,0:05:29.600000,https://p.scdn.co/mp3-preview/e9a55834b94a479267c4555e473bbcbb5086d0d7?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_4,Raga Ahir Bhairav,"Shruti Sadolikar with Mangesh Mulye, Anant Kunte, Kiran Lele",0:15:25.059000,https://p.scdn.co/mp3-preview/f087edd76feb10bae1155558f62cc1de1239eeea?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_5,Raga Ahir Bhairav,Kishori Amonkar,0:30:18.400000,https://p.scdn.co/mp3-preview/98373e5fa7f81215e775c8f2f69f212e2175e37b?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_6,Raga Ahir Bhairav,Nikhil Banerjee,0:29:23.106000,https://p.scdn.co/mp3-preview/c0815ce29952ffa50093797bab5b04ddcf0394e0?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_7,Raga Ahir Bhairav,Mahesh Kale,0:45:40.224000,https://p.scdn.co/mp3-preview/bbc842fdf56ad9e59ecb17323fb93349a6bfa1d1?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_8,Raga Ahir Bhairav,Kishori Amonkar,0:30:20.360000,https://p.scdn.co/mp3-preview/5035aa510485e3c090b3cd2a68398926e150e2dd?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_9,Raga Ahir Bhairav,Rakesh Chaurasia,0:11:54.898000,https://p.scdn.co/mp3-preview/7cdaee075857fc00ca99f5d7ce597ebdd7589f55?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_10,Raga Ahir Bhairav (Alap),Joel Veena,0:23:27.059000,https://p.scdn.co/mp3-preview/cde85d54f81cc9301087594568640f1e9b150d07?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_11,Raga Ahir Bhairav,Shubhangi Sakhalkar,0:07:52.453000,https://p.scdn.co/mp3-preview/76fcc819fa3e151be92ee2dfe75fb8a73e5222a5?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_12,Raga Ahir Bhairav,Nikhil Banerjee,0:29:41.240000,https://p.scdn.co/mp3-preview/56c1fecd6c5f94c1519eaa050a40ba6d3c0095fe?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_13,Raga Ahir Bhairav,Flutewala,0:10:00,https://p.scdn.co/mp3-preview/09c15ba7f44b31a37f8ea72e5086f4d93a8213cb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_14,Raga Ahir Bhairav,Sultan Khan,0:31:08,https://p.scdn.co/mp3-preview/09e3772d418bed2fde5e0daa9b419ce4c2cbe9a9?cid=883d8de3b4fb48e9ab32028467324d90,
