raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Yaman_1,Raga Yaman,Chandr Pushp,0:03:48,https://p.scdn.co/mp3-preview/a255d313a79bc31a892b05f46280cf5e78e1ae33?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_2,Raga Yaman: Alap,Zia Mohiuddin Dagar,40:27.5,https://p.scdn.co/mp3-preview/0476312057381b8db6fa124dfeb526eb02c8abfd?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_3,Raga Yaman,Manish Vyas,27:16.2,https://p.scdn.co/mp3-preview/44c6a6de4eec4fd9c557e2019b78ac3bfc857024?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_4,Introduction To Therapy (Based on) Raga Yaman,Rakesh Chaurasia,09:56.0,https://p.scdn.co/mp3-preview/7eefc8a2f8fce74f303729fc10653ffc6d0e87a6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_5,Raga Yaman,Rashid Khan,10:00.8,https://p.scdn.co/mp3-preview/44e18a2986c0bda19535bf1d162107c70a84b4d5?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_6,Raga Yaman Kalyan - Tu Saancha Sahib Mera,ARUNKUMAR,12:16.5,https://p.scdn.co/mp3-preview/86c82def2aa86eaf0358fd305cf037516b6ac3fe?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_7,Raga Yaman,Homayun Sakhi,31:40.9,https://p.scdn.co/mp3-preview/cbfcf754e866174cc81dea32aeeb433b14673371?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_8,Raga Hemavati (Flute),Rakesh Chaurasia,02:52.6,https://p.scdn.co/mp3-preview/a7a01acc43f72889e17a6f457c02f17edad7dce4?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_9,Raga Yaman,Kishori Amonkar,11:30.9,https://p.scdn.co/mp3-preview/23b3d9412a604e00e4181edf228b685228aa9813?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_10,Violin Alap Yaman,Bapu Padmanabha,01:51.8,https://p.scdn.co/mp3-preview/d3576265140a11512b2e13d8c1070a82e3e25aa6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_11,Yaman,Shruti Sadolikar,03:41.5,https://p.scdn.co/mp3-preview/cfa42199bea945a2b183923005073a7e671e6d2e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_12,Raga Yaman,Zia Mohiuddin Dagar,05:59.0,https://p.scdn.co/mp3-preview/af185f5e283e036cac6770372d326531d6871caf?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_13,Raga Yaman Drut,Shahid Parvez,08:56.6,https://p.scdn.co/mp3-preview/54c67ccd7d3ebcf178872fa45385305aa9cbb38b?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_14,Raga Yaman,Shahid Parvej,29:23.9,https://p.scdn.co/mp3-preview/5ec6fad00d714ab16fd3e73cf0c2bce20f39d463?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_15,Raga Yaman Kalyan - Jor,Nikhil Banerjee,09:48.1,https://p.scdn.co/mp3-preview/ddaca95d23cadb88c7981dc3d996c9160019884b?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_16,Raga Yaman,Shahid Parvez with Vijay Ghate,29:23.9,https://p.scdn.co/mp3-preview/d7544bac700e49661bfcef96abe28f533cf49d80?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_17,Raga Yaman: Jor and Jhala,Zia Mohiuddin Dagar,0:29:44,https://p.scdn.co/mp3-preview/e4e45d39d74a8fd1dca8cfd97981d8dece8d75c4?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_18,Raga Yaman,Vishwa Mohan Bhatt,30:15.8,https://p.scdn.co/mp3-preview/be901af7d96ffc4e658ad6e14bbf3b93f3e1bf30?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_19,Raga Yaman,Raghunandan Panshikar,39:17.0,https://p.scdn.co/mp3-preview/9858dc65683756bb915d3f3b63f8e6d7dfcebd99?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_20,Raga Yaman Gat,Shahid Parvez,11:39.4,https://p.scdn.co/mp3-preview/30e32b4e357cb222543fcc303c9f40b7fdadb39f?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_21,Raga Yaman,Boris Moskvitin,12:56.8,https://p.scdn.co/mp3-preview/caa35c949f041acaa30180307080488d9d682dbe?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_22,Santoor Yaman,Bapu Padmanabha,02:16.4,https://p.scdn.co/mp3-preview/75facffcf73d3c390105a92955ec46a89d34af25?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_23,Raga Yaman,Clem Alford,04:06.9,https://p.scdn.co/mp3-preview/2a804ef2f185d8d25a8db198cb60ab64a3aaf479?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_24,Raga Yaman Alap,Shahid Parvez,13:26.8,https://p.scdn.co/mp3-preview/3465a42bef81c1e433f754291500c55f24160b9a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_25,Raga Yaman,Jonathan Mayer,02:47.1,https://p.scdn.co/mp3-preview/0601c2a355a65a17504cef46f59e0a7177e68311?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_26,Raga yaman kalyan : Alap,Imrat Khan,05:43.4,https://p.scdn.co/mp3-preview/d562b0ffe864f5d20df4297f2241a76484abe4a3?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_27,Raga Yaman,Shakthidhar,0:40:00,https://p.scdn.co/mp3-preview/8116dc59e33deb94f3e6b74278612c96e6848c53?cid=883d8de3b4fb48e9ab32028467324d90,
