raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Bageshri_1,Raga Bageshri,Shaant Man,0:03:43.999000,https://p.scdn.co/mp3-preview/a552ba7de71722cfb67f2227c2c09e8a81d1bd7f?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_2,Awakening (based on Raga Bageshri),Mark Seelig,0:19:18.453000,https://p.scdn.co/mp3-preview/b9a7e81537d2a4259b52f8bc9af2a3e9e8da4dcb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_3,Midnight Stillness - Raga Bageshri,Hariprasad Chaurasia,0:22:12.480000,https://p.scdn.co/mp3-preview/408e9a45c75422469c8ba7ecc1785b26dc87b6bc?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_4,Raga Bageshri -Vilambit Gat In Roopak Tala,Shivkumar Sharma,0:11:51.733000,https://p.scdn.co/mp3-preview/bfa0eb8ad6d5e915fe24554b6e5c1342fc4a1d89?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_5,Raga Bageshri,Ronu Majumdar,0:56:04.666000,https://p.scdn.co/mp3-preview/05e3a066aafef4d8a66bf3b43f935a0c74832b8a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_6,Raga Bageshri,Nityanand Haldipur,0:24:59.346000,https://p.scdn.co/mp3-preview/49338b1cf8334afc59088a31d07d43de09e973c4?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_7,Raga Bageshri,Krishnamurti Sridhar,0:47:52.933000,https://p.scdn.co/mp3-preview/b99572b9ecc106b3f37dd31a5980297dc33bf096?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_8,Raga Bageshri,G.S. Sachdev,0:25:57.533000,https://p.scdn.co/mp3-preview/55283364cdc493945b7ca9188d658f5dc36462d6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_9,"Raga Bageshri (feat. Keerthan Holla, Madhusoodan Bhat, Kaushik Bhat)",Traditional,0:38:31.680000,https://p.scdn.co/mp3-preview/0157dc320b438e638a8eb912746ad7a94a6d6e12?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_10,Raga Bageshri - Jor,Hariprasad Chaurasia,0:11:53.600000,https://p.scdn.co/mp3-preview/3f298c362b8128a2725ec3f21af94c63a9a1a2d7?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_11,Raga Bageshri - Alap,Hariprasad Chaurasia,0:27:11.440000,https://p.scdn.co/mp3-preview/87894ddf00be22fd1eea30d200877ba88fa2f4e4?cid=883d8de3b4fb48e9ab32028467324d90,
